time,time,tavg,prcp,Average Temperature (F)
2023-02-05,,12.2,2.6,53.96
2023-02-06,,11.3,0.0,52.34
2023-02-07,,10.0,0.0,50.0
2023-02-08,,13.8,0.0,56.84
2023-02-09,,13.2,0.0,55.76
2023-02-10,,10.9,0.0,51.620000000000005
2023-02-11,,9.2,0.7,48.56
2023-02-12,,11.0,0.0,51.8
2023-02-13,,10.4,0.0,50.72
2023-02-14,,10.0,0.0,50.0
2023-02-15,,8.4,0.0,47.120000000000005
2023-02-16,,7.3,0.0,45.14
2023-02-17,,8.9,0.0,48.019999999999996
2023-02-18,,11.1,0.0,51.980000000000004
2023-02-19,,12.0,0.0,53.6
2023-02-20,,12.1,0.0,53.78
